a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
2	9	SRR5423295	SRR5423302	12645782	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000006	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	-0.000002	-15658831.626824	54	-15658839.545767	0.993164	5.077743e-01,1.590831e-01,2.201495e-02,1.633911e-01,9.224602e-02,1.686545e-02,1.942190e-02,1.504076e-02,4.162396e-03	0.449199	0.233052	0.017392	-18603897.834111	6
3	4	SRR5423296	SRR5423297	12659680	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	-0.000000	-15565409.047297	42	-15565412.123960	0.994255	5.080711e-01,1.602402e-01,1.971344e-02,1.623395e-01,9.526501e-02,1.587546e-02,1.901702e-02,1.556713e-02,3.911140e-03	0.406555	0.242557	0.032695	-18545916.440209	6
3	5	SRR5423296	SRR5423298	12658270	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000001	-15583362.177989	42	-15583364.437307	0.994144	5.083216e-01,1.595680e-01,2.014606e-02,1.625430e-01,9.463676e-02,1.630717e-02,1.904996e-02,1.543714e-02,3.990330e-03	0.414173	0.240775	0.029910	-18557741.044840	6
3	6	SRR5423296	SRR5423299	12652503	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000001	-15554402.982376	86	-15554409.196808	0.993691	5.075021e-01,1.611330e-01,1.939069e-02,1.615816e-01,9.574085e-02,1.617658e-02,1.882377e-02,1.552039e-02,4.130984e-03	0.399145	0.243847	0.035377	-18542185.869047	6
3	7	SRR5423296	SRR5423300	12661797	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000003	0.000000	-15574934.853391	62	-15574939.701194	0.994421	5.065970e-01,1.623011e-01,1.911120e-02,1.618355e-01,9.594801e-02,1.571508e-02,1.901635e-02,1.555258e-02,3.923125e-03	0.397377	0.243813	0.035982	-18554503.510062	6
3	8	SRR5423296	SRR5423301	12656058	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	-0.000000	-15555813.793405	66	-15555822.052904	0.993971	5.071292e-01,1.618303e-01,1.909752e-02,1.618785e-01,9.585223e-02,1.574156e-02,1.890586e-02,1.561058e-02,3.954310e-03	0.396479	0.243859	0.036296	-18533228.294989	6
3	9	SRR5423296	SRR5423302	12654579	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000002	0.000008	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	-0.000003	-15655816.461058	50	-15655824.844069	0.993854	5.079487e-01,1.581397e-01,2.195477e-02,1.633522e-01,9.322957e-02,1.690297e-02,1.927670e-02,1.500008e-02,4.195270e-03	0.442257	0.236248	0.019944	-18612211.102194	6
4	5	SRR5423297	SRR5423298	12660948	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	-0.000000	-15606015.083829	42	-15606022.970978	0.994355	5.085799e-01,1.604513e-01,2.039669e-02,1.614158e-01,9.358946e-02,1.605304e-02,1.990428e-02,1.559302e-02,4.016547e-03	0.430614	0.237649	0.024020	-18582718.557508	6
4	6	SRR5423297	SRR5423299	12654131	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000003	0.000003	0.000004	0.000003	0.000003	0.000000	0.000003	0.000003	0.000005	0.000000	-15573690.748862	38	-15573699.695234	0.993819	5.081607e-01,1.618406e-01,1.944291e-02,1.602916e-01,9.460310e-02,1.614566e-02,1.946549e-02,1.592195e-02,4.128010e-03	0.411280	0.240654	0.030891	-18559619.428980	6
4	7	SRR5423297	SRR5423300	12664190	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000002	0.000002	0.000004	0.000002	0.000002	0.000000	0.000002	0.000002	0.000007	0.000000	-15596668.175303	39	-15596679.225894	0.994609	5.076389e-01,1.626463e-01,1.910072e-02,1.601023e-01,9.527231e-02,1.571520e-02,1.968160e-02,1.589211e-02,3.950604e-03	0.407068	0.242338	0.032497	-18570753.008067	6
